,Address,PlanYear,Project,IDISProjectId,IDISActivityID,Status,StatusDate,InitialFundingDate,FundedAmount,Description
104,1407 E 3RD AVE,2011,ENERGY EFFICIENCY,7,1020,Completed,7/24/2012,06/25/2012,5346.0,Energy efficiency improvements made to a single family housing unit to include the replacement of exterior doors and windows for an income eligle homeowner.
105,416 HUDSON LN,2011,HUDSON LANE SEWER CONNECTIONS,12,1021,Completed,9/14/2012,07/20/2012,750.0,Activity connects sewer line to low to moderate homeowner.
106,1405 E GORDON AVE,2011,EMERGENCY REPAIRS,6,1022,Completed,7/20/2012,07/12/2012,11378.5, 
107,631 W 2ND AVE,2011,EMERGENCY REPAIRS,6,1023,Completed,7/20/2012,07/18/2012,11422.5,Replace roof and install new heating and cooling unit.
108,300 GARDEN HILL DR,2011,EMERGENCY REPAIRS,6,1024,Completed,7/13/2012,07/12/2012,2882.5, 
109,2613 TRENTON LN,2011,EMERGENCY REPAIRS,6,1025,Completed,7/20/2012,07/18/2012,11032.0,Installed new bathroom fixtures; serviced compressor; rewired house; installed new roof; pumped septic tank; installed and hooked up new system to house.
110,1307 W WHITNEY AVE,2011,EMERGENCY REPAIRS,6,1026,Completed,7/20/2012,07/18/2012,9431.5,Bathroom re-model; install 200 amp service panel and re-wire house; install clean out at rear of property.
111,743 EASTTOWN RD,2011,EMERGENCY REPAIRS,6,1027,Completed,7/20/2012,07/18/2012,7976.2,Bathroom re-model; install new kitchen sink; install new sewer line to street; new entry light.
112,1700 NORTHWOOD DR,2011,EMERGENCY REPAIRS,6,1028,Completed,7/19/2012,07/18/2012,4632.0,Install new faucet; replace electrical receptacle and replace roof.
113,311 W BROAD AVE,2011,DOWNTOWN INCUBATOR,3,1034,Completed,12/6/2013,07/26/2012,3255.13,This business is provided direct financial assistance though business subsidies and business development training.
114,1004 E TIFT AVE,2011,EMERGENCY REPAIRS,6,1044,Completed,9/20/2012,09/04/2012,7876.0, 
115,531 HOLLOWAY AVE,2011,EMERGENCY REPAIRS,6,1045,Completed,8/20/2012,08/17/2012,9500.0, 
116,1302 MOBILE AVE,2011,EMERGENCY REPAIRS,6,1046,Completed,8/21/2012,08/20/2012,3410.0, 
117,615 CANOE CT,2011,EMERGENCY REPAIRS,6,1047,Completed,8/22/2013,08/20/2012,7144.14, 
118,1921 W HIGHLAND AVE,2011,EMERGENCY REPAIRS,6,1048,Completed,10/22/2012,08/20/2012,5671.25, 
119,507 S CLEVELAND ST,2011,EMERGENCY REPAIRS,6,1051,Completed,10/17/2012,08/20/2012,9049.8, 
120,217 GARDEN HILL DR,2011,EMERGENCY REPAIRS,6,1052,Completed,8/21/2012,08/20/2012,14650.9, 
121,1119 JOEL DR,2011,EMERGENCY REPAIRS,6,1053,Completed,8/21/2012,08/20/2012,10944.0, 
122,413 LOUIS AVE,2011,EMERGENCY REPAIRS,6,1054,Completed,8/21/2012,08/20/2012,10521.6, 
123,834 CORN AVE,2011,ENERGY EFFICIENCY,7,1055,Completed,2/20/2013,08/29/2012,5072.93,The installation of energy efficiency measures on a single-family housing unit for a low-income homeowner.
124,317 WILLIAMS ST,2011,EMERGENCY REPAIRS,6,1056,Completed,9/5/2012,09/04/2012,8525.42,Emergency repairs to the single-family housing unit for a low-income homeowner.
125,2207 OXFORD RD,2011,EMERGENCY REPAIRS,6,1058,Completed,11/8/2012,09/04/2012,4865.0,Emergency repairs to a single-family housing unit for a low-income homeowner.
126,1412 COLQUITT AVE,2011,EMERGENCY REPAIRS,6,1059,Completed,11/14/2012,09/04/2012,5110.0,Emergency repairs to a single-family housing unit for a low-income homeowner.
127,314 MCCRAY DR,2011,EMERGENCY REPAIRS,6,1060,Completed,11/19/2012,09/04/2012,4499.0,Emergency repairs to a single-family housing unit for a low-income homeowner.
128,215 MONARCH DR,2011,EMERGENCY REPAIRS,6,1061,Completed,11/21/2012,09/04/2012,8210.0,Emergency repairs to a single-family housing unit for a low-income homeowner.
129,505 VICK ST,2011,EMERGENCY REPAIRS,6,1062,Completed,12/26/2012,09/04/2012,13487.6,Emergency repairs to a single-family housing unit for a low-income homeowner.
0,SANDS DRIVE,2005,HOUSING,6,466,Canceled,1/10/2012,09/28/2006,0.0, 
1,421 W SOCIETY AVE,2006,DEMOLITION,11,522,Completed,4/6/2010,08/22/2007,124559.66, 
2,525 5TH AVE,2006,PUBLIC FACILITIES,8,523,Completed,8/16/2011,08/22/2007,15016.43, 
3,PO BOX 448,2007,PUBLIC SERVICE,15,539,Completed,8/6/2010,10/04/2007,14950.95,DAYCARE SERVICES FOR SENIORS DIAGNOSED WITH ALZEHEIMERS AND OR DEMENTIA.
4,400 EBONY LN,2007,PUBLIC FACILITIES,11,546,Completed,11/29/2010,10/04/2007,46642.04,Drainage and street improvements made to the 400 block of Ebony Lane which is located in the NRSA of South Albany Redevelopment Area.
5,HICKORY LANE,2007,PUBLIC FACILITIES,11,547,Canceled,11/29/2010,10/04/2007,0.0,THE IMPROVEMENT OF THE DRAINAGE AND STREET ON THE 400 & 500 BLOCK OF HICKORY LANE
6,230 S JACKSON ST,2008,ECONOMIC DEVELOPMENT,4,548,Completed,10/2/2009,10/04/2007,286906.18,THE TECHNICAL ASSISTANCE AND OPERATION OF THE CITY OF ALBANYINCUBATOR FOR MICRO-BUSINESSES.
7,SCATTERED SITES,2007,RELOCATION,13,549,Completed,9/29/2009,10/08/2007,80593.29,CONTINUED RELOCATION PAYMENT FOR PEOPLE WHO WERE RELOCATED IN PAST YEARS.
8,230 S JACKSON ST,2007,PUBLIC SERVICE,15,550,Completed,9/29/2009,10/09/2007,50563.82,TO PROVIDE SERVICES TO HOMELESS PERSONS AND FAMILIES.
9,230 S JACKSON ST STE 315,2007,PUBLIC SERVICE,15,551,Completed,9/29/2009,10/09/2007,80547.04,TO PROVIDE HOUSING COUNSELING TO LOW AND MODERATE PERSONS.
10,SCATTERED SITES,2007,ACQUISITION,12,553,Completed,9/29/2009,10/09/2007,64071.1,TO ACQUIRE FORECLOSED PROPERTIES WHEN NEEDED.
11,638 W HIGHLAND AVE,2007,PUBLIC FACILITIES,11,562,Completed,10/1/2009,10/31/2007,19012.52,THE OPERATION OF CITY OF ALBANY EMERGENCY HOMELESS SHELTER.
12,230 S JACKSON ST,2007,PUBLIC SERVICE,15,564,Completed,9/29/2009,11/01/2007,7780.4,TO PROVIDE TRAINING TO SUBRECIPIENTS AND NON-PROFITS.
13,801 W RESIDENCE AVE,2007,PUBLIC SERVICE,15,572,Completed,11/24/2010,02/27/2008,18572.87,MENTORING PROGRAM FOR FRESHMEN MALES.
14,SCATTERED SITES,2007,LEAD,10,596,Completed,9/29/2009,03/21/2008,37344.78,CONDUCT LEAD-BASED PAINT REMEDIATIONS ON HOUSING UNITS WITHIN THE CITY OF ALBANY.
15,SCATTERED SITES,2007,BEAUTIFICATION,16,597,Completed,8/1/2009,04/15/2008,9475.97,BEAUTIFICATION PROJECTS AT SCATTERED SITES WITHIN THE CITY OF ALBANY.
16,305 S SHADOWLAWN DR,2007,ENERGY EFFICIENCY,5,617,Completed,2/22/2011,06/03/2008,5000.0,MAKE A SINGLE-FAMILY HOUSING UNIT MORE ENERGY EFFICIENT
17,640 HARMON AVE,2007,EMERGENCY REPAIRS,7,625,Completed,9/15/2009,06/06/2008,6736.49, 
18,626 JEFFERIES AVE,2007,EMERGENCY REPAIRS,7,627,Canceled,9/25/2009,09/24/2009,0.0, 
19,ALBANY COMMUNITY TOGETHER! (ACT!),2007,ECONOMIC DEVELOPMENT,4,629,Completed,9/29/2009,06/10/2008,50000.0,SMALL BUSINESS LOANS; CREATION OF JOBS FOR LOWMODERATE INCOME PERSONS; FINANCIALCASH FLOW REVIEWS OF SMALL BUSINESSES.
20,603 N JEFFERSON ST,2007,HISTORIC PRESERVATION,9,630,Completed,9/29/2009,06/27/2008,25000.0,REMOVAL OF EXTERIOR ROTTEN WOOD; ROOF REPLACEMENT;FRONT PPORCH & SIDE DECK FACING REPLACEMENT; SIDING REPLACEMENT; EXTERIOR PAINTING; WINDOW AND EXTERIOR DOOR REPLACEMENT.
21,1617 MCARTHUR ST,2007,EMERGENCY REPAIRS,7,635,Canceled,9/25/2009,07/14/2008,0.0,EMERGENCY REPAIRS TO A SINGLE FAMILY HOUSING UNIT FOR A LOW INCOME HOMEOWNER.
22,1925 S RIVERVIEW CIR,2007,EMERGENCY REPAIRS,7,636,Completed,9/15/2009,07/14/2008,7753.59,EMERGENCY REPAIRS TO A SINGLE FAMILY HOUSING UNIT FOR A LOW INCOME HOMEOWNER (Roof).
23,1009 E ROOSEVELT AVE,2007,EMERGENCY REPAIRS,7,637,Canceled,9/25/2009,07/14/2008,0.0,EMERGENCY REPAIRS TO A SINGLE FAMILY HOUSING UNIT FOR A LOW INCOME HOMEOWNER.
24,908 S JEFFERSON ST,2007,AFFORDABLE HOUSING OPPORTUNITY PROGRAM,17,639,Canceled,11/29/2010,08/23/2008,0.0, 
25,230 S JACKSON ST,2008,ADMINISTRATION,1,641,Completed,9/29/2009,10/27/2008,411246.02, 
26,101 S FRONT ST,2008,SECTION 108 LOANS,2,643,Completed,9/29/2009,10/28/2008,501462.5, 
27,1601 S SLAPPEY BLVD,2008,SECTION 108 LOANS,2,644,Completed,9/29/2009,10/28/2008,44246.25, 
28,230 S JACKSON ST,2008,ECONOMIC DEVELOPMENT,4,645,Completed,11/24/2010,11/13/2008,335876.73,TO PROVIDE TECHNICAL ASSISTANCE AND OPERATE THE CITY OF ALBANY INCUBATOR FOR MICRO-BUSINESSES.
29,230 S JACKSON ST STE 154,2008,ECONOMIC DEVELOPMENT,4,646,Completed,10/1/2009,09/24/2009,40000.0,TO PROVIDE SMALL BUSINESS LOANS; CREATE JOBS FOR LOWMODERATE INCOME PERSONS; FINANCIALCASH FLOW REVIEWS OF SMALL BUSINESSES.
30,321 TREMONT AVE,2008,ENERGY EFFICIENCY,11,648,Completed,6/30/2009,10/28/2008,2615.21, 
31,230 S JACKSON ST STE 315,2008,DISPOSITION,3,649,Completed,9/29/2009,03/26/2009,112883.93,THE MAINTENANCE AND READYING PROPERTIES FOR SALE WHICH ARE OWNED BY DCED.
32,230 S JACKSON ST STE 315,2008,RELOCATION,14,650,Completed,9/29/2009,02/06/2009,10882.37,CONTINUED RELOCATION PAYMENTS FOR HOUSEHOLDS WHO HAVE BEEN RELOCATED IN PAST YEARS.
33,230 S JACKSON ST STE 315,2008,PUBLIC SERVICE,16,652,Completed,9/29/2009,02/06/2009,122417.92,HOMELESS PROGRAM TO PROVIDE SERVICES TO HOMELESS PERSONS AND FAMILIES.
34,230 S JACKSON ST STE 315,2008,PUBLIC SERVICE,16,653,Completed,9/29/2009,02/06/2009,57.86,TRAINING PROVIDED TO NON-PROFITS AND SUBRECIPIENTS.
35,230 S JACKSON ST STE 315,2008,PUBLIC SERVICE,16,654,Completed,11/24/2009,02/06/2009,40267.31,PROVIDE HOUSING COUNSELING SUCH AS PRE-PURCHASE AND POST-PURCHASE COUNSELING AND FINANCIAL LITERACY TO LOW AND MODERATE INCOME HOUSEHOLDS.
36,230 S JACKSON ST STE 315,2008,SECTION 3 TRAINING PROGRAM,17,655,Canceled,8/10/2011,07/28/2009,0.0,TO PROVIDE TRAINING AND EMPLOYMENT OPPORTUNITIES TO HOUSEHOLDS WHICH ARE EXTREMELY LOW AND LOW INCOME.
37,SCATTERED SITES,2008,COMMERCIAL FACADE,18,656,Canceled,9/29/2009,02/06/2009,0.0,FACADE IMPROVEMENT TO BUSINESSES WITHIN THE CITY OF ALBANY.
38,214 N BROADWAY ST,2008,ENERGY EFFICIENCY,11,658,Completed,6/30/2009,11/24/2008,4966.42, 
39,1707 EDGERLY AVE,2008,ENERGY EFFICIENCY,11,659,Completed,6/30/2009,11/24/2008,4616.42, 
40,1003 SWIFT ST,2008,EMERGENCY REPAIRS,10,665,Completed,4/21/2009,12/01/2008,6351.6, 
41,421 DORSETT AVE,2008,EMERGENCY REPAIRS,10,666,Completed,9/15/2009,12/01/2008,7137.18, 
42,1139 W BROAD AVE P. O. BOX 710,2008,PUBLIC SERVICE,16,667,Completed,9/29/2009,02/06/2009,39999.57, 
43,300 W OGLETHORPE BLVD,2008,PUBLIC SERVICE,16,668,Canceled,12/31/2009,02/06/2009,0.0,TO INCREASE AFFORDABILITY OF RENTAL HOUSING AT BARKLEY ESTATES FOR LOW AND MODERATE INCOME HOUSEHOLDS.
44,612 LOUIS AVE,2008,ENERGY EFFICIENCY,11,674,Completed,6/30/2009,02/13/2009,2466.42, 
45,719 ANDOVER LN,2008,ENERGY EFFICIENCY,11,675,Completed,6/30/2009,02/13/2009,4566.42, 
46,1904 W OGLETHORPE AVE,2008,ENERGY EFFICIENCY,11,677,Completed,9/25/2009,02/24/2009,5000.0, 
47,2208 STRATFORD DR,2008,EMERGENCY REPAIRS,10,680,Completed,9/15/2009,05/21/2009,5891.59, 
48,1810 DUNNING LN,2008,EMERGENCY REPAIRS,10,682,Completed,8/11/2009,05/21/2009,5053.29, 
49,612 LOUIS AVE,2008,EMERGENCY REPAIRS,10,683,Completed,10/22/2009,05/21/2009,6404.1, 
50,710 WARRIOR CT,2008,EMERGENCY REPAIRS,10,684,Completed,10/2/2009,05/21/2009,6759.77, 
51,1530 E BROAD AVE,2008,EMERGENCY REPAIRS,10,685,Completed,2/2/2011,05/21/2009,8361.17, 
52,1918 W HIGHLAND AVE,2008,EMERGENCY REPAIRS,10,698,Completed,9/15/2009,06/22/2009,7175.59,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
53,607 ROADWAY RD,2008,EMERGENCY REPAIRS,10,699,Completed,2/22/2011,06/22/2009,6376.78,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
54,1619 SUNNY LN,2008,EMERGENCY REPAIRS,10,700,Completed,9/15/2009,06/22/2009,5043.23,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
55,919 W LINCOLN AVE,2008,EMERGENCY REPAIRS,10,701,Completed,10/5/2009,07/15/2009,6613.17, 
56,412 ROSSER LN,2008,EMERGENCY REPAIRS,10,702,Completed,10/18/2009,07/15/2009,6431.77, 
57,1400 W WHITNEY AVE,2008,EMERGENCY REPAIRS,10,703,Completed,10/2/2009,07/15/2009,6116.18, 
58,706 EASTTOWN RD,2008,EMERGENCY REPAIRS,10,704,Completed,10/13/2009,07/15/2009,5781.18, 
59,1118 W WHITNEY AVE,2008,ENERGY EFFICIENCY,11,705,Completed,7/16/2009,07/15/2009,5041.42, 
60,230 S JACKSON ST STE 250,2008,PUBLIC SERVICE,16,707,Completed,11/24/2009,07/24/2009,10802.65, 
61,230 S JACKSON ST STE 315,2009,ADMINISTRATION,1,708,Completed,2/14/2011,10/30/2009,446668.8, 
62,101 S FRONT ST,2009,SECTION 108 LOANS,2,710,Completed,6/30/2010,11/02/2009,490022.5,THE REPAYMENT OF A SECTION 108 LOAN for Hilton Gardens Inn.
63,SOUTH SLAPPEY BLVD.,2009,SECTION 108 LOANS,2,711,Completed,6/30/2010,11/02/2009,42846.25, 
64,230 S JACKSON ST STE 315 SUITE 315,2009,DISPOSITION,3,712,Completed,11/29/2010,11/02/2009,64503.24,THE MAINTENANCE AND READYING OF PROPERTIES FOR SALE.
65,230 S JACKSON ST,2009,ECONOMIC DEVELOPMENT,4,713,Completed,10/5/2010,10/30/2009,285639.1, 
66,230 S JACKSON ST STE 154,2009,ECONOMIC DEVELOPMENT,4,714,Completed,10/5/2010,04/23/2010,50000.0,SMALL BUSINESS LOANS; CREATION OF JOBS FOR LOWMODERATE INCOME PERSONS.
67,831 ODOM AVE,2009,RELOCATION,11,717,Completed,11/29/2010,11/02/2009,385.0,CONTINUED RELOCATION PAYMENTS FOR INDIVIDUALS WHO WERE RELOCATED IN PAST YEARS.
68,230 S JACKSON ST SUITE 315,2009,ACQUISITION,12,718,Completed,11/29/2010,11/02/2009,119951.28,TO ACQUIRE FORECLOSED PROPERTIES WHEN WARRANTED TO PROVIDE FOR LOW AND MODERATE INCOME HOUSEHOLDS.
69,411 ODOM AVE,2009,DEMOLITION,13,719,Canceled,6/30/2010,02/19/2010,0.0,THE DEMOLITION OF STRUCTURES IN SLUM AND BLIGHTED AREAS.
70,230 S JACKSON ST STE 315,2009,PUBLIC SERVICE,15,720,Completed,10/2/2010,11/02/2009,75000.0, 
71,230 S JACKSON ST SUITE 315,2009,PUBLIC SERVICE,15,721,Canceled,3/18/2011,01/21/2010,0.0,TO PROVIDE JOB TRAINING SKILLS TO VERY LOW AND LOW INCOME PERSONS TO ASSIST IN OBTAINING EMPLOYMENT.
72,230 S JACKSON ST STE 315,2009,PUBLIC SERVICE,15,722,Completed,9/30/2010,11/02/2009,42904.65,TO PROVIDE TECHNICAL ASSISTANCE TO 13 SUBRECIPIENTS OF PUBLIC SERVICE GRANTS TO INCREASE CAPACITY.
73,230 S JACKSON ST STE 315 SUITE 315,2009,PUBLIC SERVICE,15,723,Completed,6/30/2010,11/02/2009,50000.0, 
74,611 JEFFERIES AVE,2008,EMERGENCY REPAIRS,10,724,Completed,11/30/2010,09/22/2009,6869.14, 
75,1908 EDGERLY AVE,2008,EMERGENCY REPAIRS,10,725,Canceled,1/31/2011,09/22/2009,0.0,Emergency repairs to a single family housing unit for a low-income homeowner.
76,1513 CORDELL AVE,2008,ENERGY EFFICIENCY,11,726,Completed,9/23/2009,09/22/2009,5366.42,Energy efficiency measures installed to a single family housing unit for a low-income homeowner.
77,1403 GREENBRIER CT,2008,ENERGY EFFICIENCY,11,727,Completed,9/23/2009,09/22/2009,4651.42,Energy efficiency measures installed on a single-family housing unit for a low-income homeowner.
78,1400 W WHITNEY AVE,2008,ENERGY EFFICIENCY,11,728,Completed,9/23/2009,09/22/2009,5466.42,Energy efficiency measures installed to a single family housing unit for a low-income homeowner.
79,2029 W BROAD AVE,2008,ENERGY EFFICIENCY,11,729,Completed,9/23/2009,09/22/2009,4375.49,Energy efficiency measures installed on a single-family housing unit for a low-income homeowner.
80,1926 MARTIN LUTHER KING JR DR,2008,COMMERCIAL FACADE,18,730,Completed,10/30/2009,09/24/2009,3105.0, 
81,400 WADKINS AVE,2009,EMERGENCY REPAIRS,6,734,Completed,3/25/2010,10/30/2009,6150.14,Emergency repairs to a single family housing unit for a low-income homeowner.
82,1011 W MERCER AVE,2009,EMERGENCY REPAIRS,6,735,Completed,3/24/2010,11/02/2009,5819.09,Emergency repairs to a single-family housing unit for a low-income homeowner.
83,1128 MARY AVE,2009,ENERGY EFFICIENCY,7,736,Completed,2/22/2011,11/02/2009,5350.0, 
84,514 EUGEMAR DR,2009,ENERGY EFFICIENCY,7,737,Completed,11/24/2009,11/02/2009,5304.81, 
85,607 ROADWAY RD,2009,ENERGY EFFICIENCY,7,738,Completed,5/31/2010,11/02/2009,5405.0, 
86,1910 JONES AVE,2009,LEAD,18,740,Completed,6/30/2010,11/02/2009,18973.28,The testing of lead-based paint hazards on owner-occupied housing units of low and moderate income households.
87,320 W 2ND AVE P. O. BOX 467,2009,PUBLIC SERVICE,15,743,Completed,10/31/2010,12/14/2009,10000.0, 
88,302 S. CASON AVE. P. O. BOX 1694,2009,PUBLIC SERVICE,15,744,Completed,10/31/2010,12/14/2009,8377.52,To provide an afterschool program for low and moderate income youth from ages 4-13; and to implement a summer camp program.
89,802 N JEFFERSON ST,2009,PUBLIC SERVICE,15,745,Completed,12/31/2010,12/14/2009,24595.0,Provide health care services andor medication services to homeless and low-income persons.
90,PO BOX 306 701 WILLARD AVENUE,2009,PUBLIC SERVICE,15,746,Completed,10/31/2010,02/19/2010,13190.3,To provide tutoring and an after-school program to low and moderate income youth in South Albany; and to develop and implement the 2010 Summer Program Fair.
91,PO BOX 71562,2009,PUBLIC SERVICE,15,747,Completed,10/23/2010,12/14/2009,23080.0, 
92,406 W HIGHLAND AVE,2009,PUBLIC SERVICE,15,748,Completed,10/31/2010,12/14/2009,12374.92, 
93,PO BOX 665 504 COLLEGE DR.,2009,PUBLIC SERVICE,15,749,Completed,10/31/2010,12/14/2009,10628.83, 
94,302 ADKINS ST,2009,PUBLIC SERVICE,15,750,Completed,10/31/2010,12/14/2009,24926.79, 
95,230 S JACKSON ST STE. 154,2009,PUBLIC SERVICE,15,751,Completed,10/31/2010,01/07/2010,10001.83, 
96,1338 MOBILE AVE,2009,PUBLIC SERVICE,15,752,Completed,10/31/2010,01/12/2010,11115.0,Provide tuition assistance and transportation for low and moderate income families for day care for their children.
97,835 W BROAD AVE,2009,PUBLIC SERVICE,15,753,Completed,12/20/2010,01/21/2010,11866.43,Provide basic computer training for senior citizens in the community.
98,PO BOX 467,2009,PUBLIC SERVICE,15,754,Completed,10/31/2010,01/22/2010,15000.0, 
99,608 WILLARD AVE,2010,REHABILITATION,19,755,Canceled,10/21/2011,02/11/2010,0.0, 
100,603 AZTEC LN,2009,EMERGENCY REPAIRS,6,756,Completed,3/23/2010,02/11/2010,4717.21,Emergency repairs to a single family housing unit for a low income homeowner.
101,403 VICK ST,2009,EMERGENCY REPAIRS,6,757,Completed,3/24/2010,02/11/2010,4821.61,Emergency repairs to a single family housing unit for a low income homeowner.
102,910 W MERCER AVE,2009,EMERGENCY REPAIRS,6,758,Completed,2/22/2011,02/11/2010,6218.72,Emergency repairs to a single family housing unit for a low income homeowner.
103,903 DON CUTLER SR DR,2009,EMERGENCY REPAIRS,6,759,Canceled,1/31/2011,02/11/2010,0.0,Emergency repairs to a single family housing unit for a low income homeowner.
104,1000 E SOCIETY AVE,2009,EMERGENCY REPAIRS,6,760,Completed,4/1/2010,02/11/2010,5015.72, 
105,903 DORSETT AVE,2009,EMERGENCY REPAIRS,6,761,Completed,3/23/2010,02/11/2010,5049.61,Emergency repairs to a single family housing unit for a low income homeowner.
106,1709 FIR LN,2009,EMERGENCY REPAIRS,6,762,Completed,3/24/2010,02/11/2010,6410.72,Emergency repairs to a single family housing unit for a low income homeowner.
107,1802 SHARON DR,2009,ENERGY EFFICIENCY,7,763,Completed,2/24/2010,02/11/2010,5499.0,Energy efficiency measures installed on a single family housing unit for a low income homeowner.
108,249 E OGLETHORPE BLVD,2009,COMMERCIAL FACADE,14,764,Completed,3/31/2010,02/11/2010,863.14,Commercial facade (new sign)
109,912 JEFFERIES AVE,2009,EMERGENCY REPAIRS,6,766,Canceled,1/31/2011,02/18/2010,0.0, 
110,1206 S MCKINLEY ST,2009,EMERGENCY REPAIRS,6,767,Completed,3/18/2010,02/18/2010,4733.95, 
111,105 HILLSIDE DR,2009,EMERGENCY REPAIRS,6,768,Completed,5/11/2010,02/18/2010,5938.35, 
112,2107 COLQUITT AVE,2009,EMERGENCY REPAIRS,6,769,Completed,5/26/2010,02/18/2010,6047.49, 
113,225 S JACKSON ST,2009,PUBLIC FACILITIES,19,770,Completed,4/23/2013,03/23/2010,89595.68, 
114,1400 S JEFFERSON ST,2009,PUBLIC FACILITIES,19,771,Completed,11/20/2013,03/23/2010,200948.09, 
115,227 E OGLETHORPE BLVD,2009,COMMERCIAL FACADE,14,772,Completed,4/5/2010,03/24/2010,1136.71,Installation of lighted face sign panel.
116,318 W HIGHLAND AVE,2009,COMMERCIAL FACADE,14,773,Completed,3/30/2010,03/24/2010,4208.2, 
117,PO BOX 44,2009,PUBLIC SERVICE,15,774,Completed,10/31/2010,04/14/2010,10000.0,To expand the service of assessing individuals served to determine needs; and to enhance the services of the soup kitchen.
118,230 S JACKSON ST SUITE 315,2009,PUBLIC FACILITIES,19,775,Completed,8/16/2011,04/15/2010,56071.1,To develop a walking trail within the East Albany Strategic Planning Area between the 1100 and 1200 blocks (eastern boundary)of Netherland Avenue.
119,1910 JONES AVE,2009,ENERGY EFFICIENCY,7,776,Completed,2/14/2011,04/16/2010,4427.5,TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
120,1000 E SOCIETY AVE,2009,ENERGY EFFICIENCY,7,777,Completed,5/13/2010,04/16/2010,4339.0,TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
121,206 EDISON DR,2009,EMERGENCY REPAIRS,6,778,Completed,5/11/2010,04/16/2010,5339.0,TO PERFORM EMERGENCY REPAIRS ON THE HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD.
122,1105 JORDAN ST,2009,EMERGENCY REPAIRS,6,779,Completed,5/31/2010,04/16/2010,4956.0,TO PERFORM EMERGENCY REPAIRS ON THE HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD.
123,HABERSHAM RD,2009,PUBLIC FACILITIES,19,780,Completed,8/21/2011,05/20/2010,2000.0,Beautification projects conducted in low to moderate income neighborhoods identified in City's consolidated plan.
124,1918 W HIGHLAND AVE,2009,ENERGY EFFICIENCY,7,786,Completed,7/31/2010,07/02/2010,5595.0, 
125,706 JOHNNY W WILLIAMS RD,2009,ENERGY EFFICIENCY,7,787,Completed,7/31/2010,07/02/2010,5110.0, 
126,1519 MALONE DR,2009,ENERGY EFFICIENCY,7,788,Completed,7/13/2010,07/02/2010,4902.0, 
127,231 E OGLETHORPE BLVD,2009,COMMERCIAL FACADE,14,789,Completed,10/5/2010,08/06/2010,900.0, 
128,1602 ESTELLE ST,2009,ENERGY EFFICIENCY,7,800,Completed,11/30/2010,07/15/2010,5083.53, 
129,2107 COLQUITT AVE,2009,ENERGY EFFICIENCY,7,803,Completed,3/3/2011,07/15/2010,3832.5, 
130,403 VICK ST,2010,EMERGENCY REPAIRS,4,808,Completed,10/4/2010,07/30/2010,6378.38, 
131,2305 DERVAN ST,2010,EMERGENCY REPAIRS,4,810,Completed,9/30/2010,07/30/2010,5078.38, 
132,402 BUSH ST,2010,EMERGENCY REPAIRS,4,811,Completed,2/9/2011,07/30/2010,5503.38, 
133,1819 GREENVALE RD,2010,EMERGENCY REPAIRS,4,812,Completed,2/22/2011,07/30/2010,6752.4, 
134,607 FREEMONT ST,2010,EMERGENCY REPAIRS,4,813,Completed,3/15/2011,07/30/2010,5907.88, 
135,412 FULSE DR,2010,EMERGENCY REPAIRS,4,836,Completed,12/2/2010,09/28/2010,5324.0, 
136,UNKNOWN ADDRESS,2011,SECTION 108 LOANS,11,962,Completed,8/15/2012,10/04/2011,472883.75,Repayment of Hilton Section 108 Loan
0,230 S JACKSON ST SCATTER SITES,2001,HOUSING,3,298,Canceled,8/12/2006,09/29/2001,0.0,THE INSTALLATION OF RAMPS AND GRAP BARS FOR LOW AND MODERATEINCOME PERSONS WHO HAVE A DISABILITY.
1,SCATTERED SITES,2002,EAST CENTRAL ALBANY REDEVELOPMENT,5,352,Canceled,9/30/2006,11/22/2002,0.0,REDEVELOPMENT OF EAST ALBANY
2,1100 EXETER DRIVE,2001,PUBLIC FACILITIES,4,366,Completed,9/30/2006,01/25/2003,587160.02,THE DEVELOPMENT OF A COMMUNITY CENTER IN EAST ALBANY INCLUDEDESIGN AND CONSTRUCTION OF THE STRUCTURE.
3,SCATTER SITES,2003,ENERGY EFFICIENCY,6,378,Completed,9/30/2006,10/11/2003,33898.8, 
4,NORTH JEFFERSON,2003,PUBLIC FACILITIES,7,380,Completed,9/30/2006,11/29/2003,341046.2,THE IMPROVEMENT TO THE HOG PEN DITCH FOR DRAINAGE AND MITIGATION OF FLOODING.
5,SCATTER SITES,2003,ACQUISITION,8,381,Completed,9/30/2006,10/11/2003,380000.0,THE ACQUISITION OF PROPERTIES FOR THE DEVELOPMENT OFAFFORDABLE HOUSING AND ECONOMIC DEVELOPMENT ACTIVITIES.
